Time,Battery inverter.Idc_bat,Battery inverter.Vdc_bat
428.5,-1230.7119,364.2381
429,-1230.7085,364.23978
429.5,-1230.6852,364.24084
430,-1230.6984,364.24194
430.5,-1230.7059,364.24295
431,-1230.7107,364.244
431.5,-1230.739,364.24515
432,-1230.7386,364.24622
432.5,-1230.7119,364.24722
433,-1230.7329,364.24838
433.5,-1230.7461,364.24957
434,-1230.7379,364.25073
434.5,-1230.7971,364.2519
435,-1230.8186,364.25287
435.5,-1230.8663,364.25406
436,-1230.9093,364.25534
436.5,-1230.8773,364.2562
437,-1230.8746,364.2573
437.5,-1230.86,364.25845
438,-1230.8383,364.2593
438.5,-1230.8131,364.26035
439,-1230.827,364.26147
439.5,-1230.8005,364.26248
440,-1230.7966,364.26334
440.5,-1230.7982,364.26428
441,-1230.7712,364.26514
441.5,-1230.791,364.26605
442,-1230.8292,364.2673
442.5,-1230.8638,364.26822
443,-1230.8793,364.2694
443.5,-1230.7822,364.2698
444,-1230.7697,364.27072
444.5,-1230.771,364.27176
445,-1230.7427,364.27264
445.5,-1230.7385,364.27362
446,-1230.7052,364.27463
446.5,-1230.7,364.27563
447,-1230.6573,364.27634
447.5,-1230.6683,364.2774
448,-1230.6818,364.2783
448.5,-1230.6761,364.2792
449,-1230.722,364.28036
449.5,-1230.721,364.28134
450,-1230.7007,364.28247
450.5,-1230.6868,364.28354
451,-1230.6973,364.28455
451.5,-1230.7087,364.28568
452,-1230.7137,364.28674
452.5,-1230.7252,364.28793
453,-1230.7476,364.28906
453.5,-1230.7318,364.29004
454,-1230.7214,364.29092
454.5,-1230.7218,364.29196
455,-1230.6982,364.2929
455.5,-1230.6512,364.29367
456,-1230.641,364.29462
456.5,-1230.67,364.29605
457,-1230.6437,364.29712
457.5,-1230.6233,364.29797
458,-1230.5923,364.29895
458.5,-1230.5999,364.29996
459,-1230.6207,364.30118
459.5,-1230.6368,364.30215
460,-1230.6508,364.3033
460.5,-1230.6599,364.30432
461,-1230.6725,364.30545
461.5,-1230.682,364.30664
462,-1230.6643,364.30762
462.5,-1230.6477,364.3085
463,-1230.6403,364.30957
463.5,-1230.6665,364.3107
464,-1230.669,364.31174
464.5,-1230.6919,364.31287
465,-1230.7063,364.31406
